distribution,model,hamiltonian_error_clean,step_size
normal_normal,HMC,0.10464104000000002,0.1
normal_normal,HMC,0.13444833,0.1
normal_normal,HMC,0.08819294,0.1
normal_normal,HMC,0.17197788,0.1
normal_normal,HMC,0.09249063,0.1
normal_normal,NNgHMC,0.09887823,0.1
normal_normal,NNgHMC,0.11749930999999998,0.1
normal_normal,NNgHMC,0.057218479999999995,0.1
normal_normal,NNgHMC,0.07316961,0.1
normal_normal,NNgHMC,0.23957784,0.1
normal_normal,Explicit NNODEgHMC,0.07837803,0.1
normal_normal,Explicit NNODEgHMC,0.1100126,0.1
normal_normal,Explicit NNODEgHMC,0.07404628,0.1
normal_normal,Explicit NNODEgHMC,0.13576813,0.1
normal_normal,Explicit NNODEgHMC,0.07099461,0.1
normal_normal,NNODEgHMC,0.07837803,0.1
normal_normal,NNODEgHMC,0.10783923000000001,0.1
normal_normal,NNODEgHMC,0.06268246,0.1
normal_normal,NNODEgHMC,0.08912656,0.1
normal_normal,NNODEgHMC,0.24163674999999998,0.1
